-8356,0.0064,42201.46,p,vis,Germann R,,"B,0016,B,0016,,",
-8353,0.0041,42202.492,p,vis,Locher Kurt,,"B,0016,B,0016,,",
-8316,0.0008,42215.418,s,vis,Peter H,,,"B,0016,B,0016,,"
-8240,0.0046,42241.454,p,vis,Peter H,,,"B,0016,B,0016,,"
-8240,0.0086,42241.458,p,vis,Diethelm Roger,,"B,0016,B,0016,,",
-8211,-0.0034,42251.445,p,vis,Diethelm Roger,,"B,0016,B,0016,,",
-8200,0.0009,42255.414,s,vis,Diethelm Roger,,"B,0016,B,0016,,",
-8200,0.0129,42255.426,s,vis,Germann R,,"B,0016,B,0016,,",
-8200,0.0139,42255.427,s,vis,Peter H,,,"B,0016,B,0016,,"
-8179,0.0163,42262.498,p,vis,Locher Kurt,,"B,0017,B,0017,,",
-8168,0.0146,42266.461,s,vis,Peter H,,,"B,0017,B,0017,,"
-8142,0.005,42275.416,s,vis,Peter H,,,"B,0017,B,0017,,"
-8061,0.0029,42303.342,s,vis,Diethelm Roger,,"B,0017,B,0017,,",
-8061,0.0099,42303.349,s,vis,Peter H,,,"B,0017,B,0017,,"
-7962,0.0095,42337.311,p,vis,Peter H,,,"B,0018,B,0018,,"
-7602,0.0085,42461.607,s,vis,Locher Kurt,,"B,0021,B,0021,,",
-7581,0.0089,42468.676,p,vis,Locher Kurt,,"B,0021,B,0021,,",
-7567,0.0038,42473.67,s,vis,Locher Kurt,,"B,0021,B,0021,,",
-7442,0.0098,42516.603,p,vis,Locher Kurt,,"B,0022,B,0022,,",
-7419,-0.0024,42524.521,p,vis,Locher Kurt,,"B,0022,B,0022,,",
-7408,0.0069,42528.495,s,vis,Locher Kurt,,"B,0022,B,0022,,",
-7396,0.0144,42532.468,p,vis,Peter H,,,"B,0022,B,0022,,"
-7373,0.0152,42540.571,s,vis,Peter H,,,"B,0022,B,0022,,"
-7356,0.0067,42546.424,s,vis,Germann R,,"B,0022,B,0022,,",
-7356,0.0137,42546.431,s,vis,Peter H,,,"B,0022,B,0022,,"
-7341,0.0109,42551.428,p,vis,Germann R,,"B,0022,B,0022,,",
-7312,0.0039,42561.42,p,vis,Germann R,,"B,0022,B,0022,,",
-7312,0.0079,42561.424,p,vis,Peter H,,,"B,0022,B,0022,,"
-7283,0.006,42571.421,p,vis,Germann R,,"B,0023,B,0023,,",
-7283,0.011,42571.426,p,vis,Peter H,,,"B,0023,B,0023,,"
-7263,0.0081,42578.491,s,vis,Peter H,,,"B,0023,B,0023,,"
-7208,0.0076,42597.454,s,vis,Peter H,,,"B,0023,B,0023,,"
-7196,0.0151,42601.427,p,vis,Germann R,,"B,0023,B,0023,,",
-7182,0.011,42606.422,s,vis,Diethelm Roger,,"B,0023,B,0023,,",
-7150,0.0087,42617.453,s,vis,Peter H,,,"B,0023,B,0023,,"
-7141,0.0125,42620.388,p,vis,Diethelm Roger,,"B,0023,B,0023,,",
-7069,0.0095,42645.382,s,vis,Peter H,,,"B,0023,B,0023,,"
-7014,0.009,42664.345,s,vis,Locher Kurt,,"B,0024,B,0024,,",
-6973,0.0115,42678.312,p,vis,Locher Kurt,,"B,0024,B,0024,,",
-6875,0.0109,42712.273,s,vis,Peter H,,,"B,0024,B,0024,,"
-6776,0.0096,42746.234,p,vis,Peter H,,,"B,0024,B,0024,,"
-6505,0.007,42839.67,p,vis,Locher Kurt,,"B,0027,B,0027,,",
-6381,0.0088,42882.598,s,vis,Locher Kurt,,"B,0027,B,0027,,",
-6361,0.004,42889.489,s,vis,Locher Kurt,,"B,0027,B,0027,,",
-6335,0.0064,42898.456,s,vis,Peter H,,,"B,0027,B,0027,,"
-6265,0.011,42922.424,p,vis,Peter H,,,"B,0028,B,0028,,"
-6265,0.019,42922.604,s,vis,Locher Kurt,,"B,0028,B,0028,,",
-6254,0.0073,42926.385,s,vis,Germann R,,"B,0028,B,0028,,",
-6251,0.0069,42927.419,s,vis,Locher Kurt,,"B,0028,B,0028,,",
-6227,0.0029,42935.518,p,vis,Locher Kurt,,"B,0028,B,0028,,",
-6222,0.009,42937.42,s,vis,Diethelm Roger,,"B,0028,B,0028,,",
-6201,0.0063,42944.486,p,vis,Locher Kurt,,"B,0028,B,0028,,",
