11618,0.003,51432.4253,s,vis,Major M,,,"C,0032,,,,RL180"
11618,0.0086,51432.4309,s,vis,Suchan P,,"C,0032,,,,RL180",
11621,0.0023,51433.4059,p,vis,Svoboda J,,"C,0032,,,,RL180",
11621,0.0044,51433.408,p,vis,Jindra J,,"C,0032,,,,RL180",
11621,0.0092,51433.4128,p,vis,Major M,,,"C,0032,,,,RL180"
11621,0.0127,51433.4163,p,vis,Hajek M,,,"C,0032,,,,RL180"
11625,-0.002,51434.5232,p,vis,Major M,,,"C,0032,,,,RL180"
12780,0.0147,51758.4227,p,vis,Citriak P,,"C,0034,E,0074,,",
12780,0.0147,51758.4227,p,vis,Citriak P,,"C,0034,E,0074,,",
12780,0.0154,51758.4234,p,vis,Bilanska M,,"C,0034,E,0074,,",
12780,0.0189,51758.4269,p,vis,Derenik D,,"C,0034,E,0074,,",
12780,0.0237,51758.4317,p,vis,Parimucha s,,"C,0034,E,0074,,",
12780,0.0272,51758.4352,p,vis,Sura F,,,"C,0034,E,0074,,"
12793,0.002,51761.9155,s,ccd,Nelson Robert,,"I,5040,,,,",
13283,0.0042,51899.3225,s,ccd,Safar Jan,,"C,0034,E,0074,,RL400",
13699,0.0028,52015.975,s,ccd,Nelson Robert,,"I,5224,,,,BYO",
14075,0.0079,52121.4173,s,ccd,Baldinelli Luigi,"B,0127,I,5220,,",,
14132,0.0037,52137.3969,s,ccd,Agerer Franz,,"D,0152,I,5296,,ST-6",
14132,0.0033,52137.5365,p,ccd,Agerer Franz,,"D,0152,I,5296,,ST-6",
14161,0.0036,52145.5289,s,R,Zejda Miloslav,,"I,5583,,,,RL400",
14335,0.0035,52194.3215,s,ccd,Blaettler Ernst,,"B,0126,,,,",
15302,-0.0092,52465.473,s,vis,Hirjak M,,"C,0034,E,0074,,RL150",
15302,-0.0078,52465.4744,s,vis,Rusnak M,,"C,0034,E,0074,,RL150",
15441,0.0149,52504.4752,s,vis,Novotna Pe,,"C,0034,E,0074,,RF160",
15444,0.0037,52505.4453,p,ccd,Agerer Franz,,"D,0158,I,5484,,",
15445,0.0039,52505.5859,s,ccd,Agerer Franz,,"D,0158,I,5484,,",
15462,0.0032,52510.4923,p,ccd,Agerer Franz,,"D,0158,I,5484,,",
15487,0.0168,52517.5163,p,vis,Netolicky M,,"C,0034,E,0074,,RF160",
15501,0.0034,52521.4288,p,R,Zejda Miloslav,,"I,5583,,,,RF80",
15502,0.0039,52521.5697,s,R,Zejda Miloslav,,"I,5583,,,,RF80",
15591,0.004,52546.667,p,ccd,Nelson Robert,,"I,5371,,,,",
15642,0.0083,52560.9727,p,V,Nakajima Kazuhir,"W,0687,J,0040,,",,
15643,0.0075,52561.1123,s,V,Nakajima Kazuhir,"W,0687,J,0040,,",,
16550,0.003,52815.4469,s,V,Guerdemir L,,"I,5443,,,,",
16550,0.0061,52815.45,s,B,Guerdemir L,,"I,5443,,,,",
16774,0.0043,52878.4018,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
16775,0.0046,52878.5425,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
16803,0.0038,52886.3935,s,ccd,Krajci T,,"I,5592,,,,",
16806,0.0047,52887.3756,p,ccd,Agerer Franz,,"D,0172,I,5643,,",
16807,0.0036,52887.5149,s,ccd,Agerer Franz,,"D,0172,I,5643,,",
16807,0.0037,52887.515,s,ccd,Paschke Anton,,"B,0130,I,5543,,",
16860,0.0023,52902.3758,s,ccd,Proksch Willi,,"D,0172,I,5643,,",
16881,0.0005,52908.4028,p,vis,Vrastak M,,"C,0034,E,0074,,RL240",
16904,0.0031,52914.715,s,V,Macejewski Graci,"I,5494,,,,",,
16904,0.0045,52914.8564,p,V,Macejewski Graci,"I,5494,,,,",,
16956,0.0031,52929.4367,p,ccd,Agerer Franz,,"D,0172,I,5643,,",
16957,0.0053,52929.5793,s,ccd,Agerer Franz,,"D,0172,I,5643,,",
16963,-0.0031,52931.3934,p,vis,Machon M,,"C,0034,E,0074,,RL114",
16999,0.0024,52941.3539,s,vis,Machon M,,"C,0034,E,0074,,RL114",
17052,0.0054,52956.3592,p,ccd,Ehrenberger R,,"C,0034,E,0074,,RL100",
17951,0.0035,53208.453,p,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17955,0.002,53209.4332,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
17955,0.0023,53209.4335,s,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17955,0.0031,53209.5743,p,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17965,0.0049,53212.3803,p,ccd,Szasz Gabriel,,"0,priv,,,Uni Komenske,ST-9XE",
17966,0.0022,53212.518,s,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17983,0.0033,53217.4262,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
17994,0.0026,53220.3701,s,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17994,0.0024,53220.5099,p,ccd,Szasz Gabriel,,"I,5668,,,,HL",
17994,0.0037,53220.5112,p,ccd,Raetz Manfred,,"D,0173,I,5657,,",
17998,0.0036,53221.4928,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18008,0.0025,53224.4358,p,ccd,Szasz Gabriel,,"I,5668,,,,HL",
18016,0.0025,53226.5392,s,ccd,Szasz Gabriel,,"I,5668,,,,HL",
18016,0.0025,53226.5392,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18022,0.002,53228.3612,p,ccd,Ehrenberger R,,"C,0034,E,0074,,RL100",
18040,0.0028,53233.4095,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
18041,0.0017,53233.5488,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18051,0.0025,53236.3538,s,V,Szasz Gabriel,,"I,5668,,,,HL",
18051,0.0018,53236.4931,p,V,Szasz Gabriel,,"I,5668,,,,HL",
18065,0.0008,53240.418,p,V,Szasz Gabriel,,"I,5668,,,,HL",
18066,0.0021,53240.5597,s,V,Szasz Gabriel,,"I,5668,,,,HL",
18101,0.0025,53250.3747,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18101,-0.0038,53250.5084,p,V,Csizmadia,,"I,5684,,,,Pi100",
18101,0.0018,53250.514,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
18109,0.0015,53252.6171,s,ccd,Bialozynski J,,"A,0012,,,,",
18119,0.0022,53255.4219,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18119,0.0031,53255.5628,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
18126,0.0018,53257.3845,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18126,-0.0001,53257.5226,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
18198,0.0018,53277.5746,s,ccd,Samolyk G,,"A,0012,,,,",
18215,0.0018,53282.3417,s,ccd,Agerer Franz,,"D,0173,I,5657,,",
18215,0.0035,53282.4834,p,ccd,Agerer Franz,,"D,0173,I,5657,,",
18425,0.0008,53341.2285,s,ccd,Blaettler Ernst,,"B,0131,I,5653,,",
18493,0.0013,53360.2974,s,ccd,Zejda Miloslav,,"I,5741,,,,RL200",
19311,-0.0003,53589.6777,s,ccd,Samolyk G,,"A,0012,,,,",
19353,0.0013,53601.4569,s,-Ir,Agerer Franz,,"D,0178,I,5731,,",
19395,0.001,53613.3741,p,-Ir,Agerer Franz,,"D,0178,I,5731,,",
19396,0.0015,53613.515,s,ccd,Zejda Miloslav,,"I,5741,,,,RL400",
19396,0.0024,53613.5159,s,-Ir,Agerer Franz,,"D,0178,I,5731,,",
19399,0.0018,53614.3566,s,ccd,Ehrenberger R,,"C,0034,E,0074,,RL100",
19399,0.0022,53614.497,p,-Ir,Poschinger K,,"D,0178,I,5731,,",
19406,-0.0004,53616.4573,p,I,Smelcer L,,"C,0034,E,0074,,RL280",
19410,0.0013,53617.4406,s,R,Smelcer L,,"C,0034,E,0074,,RL280",
19462,0.0005,53632.0216,s,V,Kubotera Katsua,,"J,0044,,,,16L+BJ41L",
19462,0.0012,53632.1623,p,V,Kubotera Katsua,,"J,0044,,,,16L+BJ41L",
19520,0.0018,53648.4272,p,-Ir,Poschinger K,,"D,0178,I,5731,,",
19531,0.0011,53651.3711,s,ccd,Ehrenberger R,,"C,0034,E,0074,,RL100",
19531,0.0014,53651.3714,s,-Ir,Agerer Franz,,"D,0178,I,5731,,",
19531,0.0011,53651.5111,p,-Ir,Agerer Franz,,"D,0178,I,5731,,",
19559,0.0012,53659.3629,p,-Ir,Frank Peter,,"D,0178,I,5731,,",
19560,0.0012,53659.5033,s,-Ir,Frank Peter,,"D,0178,I,5731,,",
19576,0.0003,53663.9891,s,V,Kubotera Katsua,,"J,0044,,,,16L+BJ41L",
20519,-0.0008,53928.4221,s,V,Parimucha S,,"I,5898,,,,256mm Newton",
20600,-0.0008,53951.136,s,V,Maehara Hiroyuki,"J,0045,,,,20L+ST-7E",,
20600,0.0002,53951.277,p,V,Maehara Hiroyuki,"J,0045,,,,20L+ST-7E",,
20654,0.0009,53966.4203,p,-Ir,Agerer Franz,,"D,0183,I,5761,,ST-6",
20655,-0.0001,53966.5597,s,-Ir,Agerer Franz,,"D,0183,I,5761,,ST-6",
20722,0.0012,53985.489,p,ccd,Dogru S S,,"I,5746,,,,UG301",
20737,0.0019,53989.696,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
20747,-0.0008,53992.3574,s,-Ir,Walter F,,"D,0183,I,5761,,Pictor 416XT",
20747,0.0045,53992.3628,s,I,Smelcer L,,"C,0034,E,0074,,RL280",
20775,-0.0013,54000.3487,p,R,Ehrenberger R,,"C,0034,E,0074,,RL96/400",
20783,-0.0009,54002.4524,s,ccd,Schmidt U,,"D,0183,I,5761,,ST-7",
21001,-0.005,54063.5794,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
21058,-0.0013,54079.5669,s,ccd,Samolyk G,,"A,0012,,,,",
21771,0.0007,54279.647,p,ccd,Paschke Anton,,"E,0073,,,,Takahashi",
21779,0.0009,54281.7505,s,ccd,Bialozynski J,,"A,0012,,,,",
21835,0.0007,54297.4537,s,V,Parimucha S,,"I,5898,,,,256mm Newton",
21942,0.0003,54327.4581,s,R,Brat L,,,"C,0034,E,0074,,RL200, f/10"
21945,-0.0004,54328.4386,p,ccd,Fischerova Z,,"C,0034,E,0074,,ED80/600 + M",
21945,0.0003,54328.4393,p,R,Brat L,,,"C,0034,E,0074,,RL200, f/10"
21953,0.0005,54330.5428,s,ccd,Turan I,,,"C,0034,E,0074,,Meade DSI Pr"
21953,0.0008,54330.5431,s,R,Brat L,,,"C,0034,E,0074,,RL200, f/10"
22058,0.0012,54359.9874,s,V,Itoh Hiroshi,,"J,0046,,,,30SC+DSI-Pro",
22153,0.0021,54386.6281,s,ccd,Samolyk G,,"A,0079,,,,",
22179,0.0032,54393.92,s,V,Itoh Hiroshi,,"J,0046,,,,30SC+DSI-Pro",
22274,0.0002,54420.5567,s,ccd,Samolyk G,,"A,0079,,,,",
23095,0.0002,54650.7799,s,ccd,Menzies K,,"A,0086,,,,",
23193,0.0001,54678.4008,p,ccd,Dubovsky Pavol,,"I,5898,,,,70/180mm",
23236,0.0018,54690.4604,p,ccd,Baludansky D,,"I,5898,,,,70/700mm",
23280,0.0009,54702.6579,s,ccd,Samolyk G,,"A,0086,,,,",
23348,0.002,54721.7275,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
23401,0.0006,54736.7282,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23402,0,54736.868,s,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23405,-0.0001,54737.7092,s,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23405,0.0007,54737.85,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23408,0.0006,54738.6912,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23475,0.0005,54757.3391,s,ccd,Jungbluth H,,"D,0203,I,5889,,ST-7",
23483,0.0006,54759.7225,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23487,-0.0003,54760.7032,s,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23490,0.0007,54761.6856,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23576,0.0001,54785.6608,s,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
23579,0.0005,54786.6426,p,BVR,Lee Jae Woo,,",,,,ph-0910.3977,",
24342,-0.0023,55000.4587,s,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
24342,-0.0023,55000.4587,s,V,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
24342,-0.002,55000.459,s,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
24545,-0.0021,55057.3837,s,V,Parimucha Stefan,"I,5980,,,,265mm+MeadeD",,
24558,-0.0012,55061.03,s,V,Shiokawa Kazuhik,"J,0050,,,,35SC+ST-9E",,
24558,-0.0007,55061.1705,p,V,Shiokawa Kazuhik,"J,0050,,,,35SC+ST-9E",,
24633,0.0059,55082.0685,s,V,Shiokawa Kazuhik,"J,0050,,,,35SC+ST-9E",,
24653,-0.0025,55087.6685,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
24723,-0.0317,55107.2685,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
24774,0.001,55121.6025,s,V,Diethelm Roger,,"I,5920,,,,",
24774,-0.0025,55121.739,p,V,Diethelm Roger,,"I,5920,,,,",
24863,-0.0017,55146.557,s,ccd,Li K,,,",,,,New Astr 41,AAVSO"
25709,-0.002,55383.7904,s,V,Diethelm Roger,,"I,5960,,,,",
26057,-0.0059,55481.3719,s,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
26057,-0.0012,55481.5166,p,-Ir,Agerer Franz,,"D,0215,I,5984,,Sigma 1603",
