31340,-0.0062,58928.4785,p,-Ir,Agerer Franz,,"D,0052,,,,S1603",
31350,-0.0061,58932.9972,s,V,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31350,-0.006,58932.9973,s,Ic,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31350,-0.005,58932.9983,s,B,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31355,-0.0061,58934.934,p,V,Nagai Kazuo,,"J,0069,,,,20SC+ST-402",
31355,-0.0061,58934.934,p,Ic,Nagai Kazuo,,"J,0069,,,,20SC+ST-402",
31388,-0.007,58949.3499,s,cG,Kasai Kiyoshi,,"J,0069,,,,10L+EOS.Kiss",
31391,-0.0047,58950.4283,p,cG,Kasai Kiyoshi,,"J,0069,,,,10L+EOS.Kiss",
31451,-0.0057,58976.4638,s,cG,Kasai Kiyoshi,,"J,0069,,,,10L+EOS.Kiss",
31985,-0.0008,59206.2798,s,B,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31985,-0.0006,59206.28,s,V,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
31985,-0.0005,59206.2801,s,Ic,Nagai Kazuo,,"J,0069,,,,15L+ST-402",
32109,-0.0053,59259.4247,p,V,Dufoer Sjoerd,,"D,0055,,,,20cm+ST8",
32183,0.0025,59291.494,s,ccd,Paschke Anton,,"D,0055,,,,50mm+ST7",
