8617,-0.0229,47220.3059,p,vis,Tvardowskyi,,",,,,priv.comm,",
8741,-0.0047,47262.469,s,vis,Rehacek O,,"C,0030,C,0030,,",
8744,-0.0108,47263.4784,s,vis,Dedoch A,,"C,0030,C,0030,,",
8744,-0.0101,47263.4791,s,vis,Wagner V,,"C,0030,C,0030,,",
8753,-0.0148,47266.351,p,vis,Germann R,,"B,0088,B,0088,,",
8765,-0.0079,47270.42,p,vis,Peter H,,,"B,0088,B,0088,,"
8765,-0.0033,47270.4246,p,vis,Rehacek O,,"C,0030,C,0030,,",
8780,-0.0285,47275.477,p,vis,Kirby G,,,"R,0014,R,0014,,"
8862,-0.011,47303.422,s,vis,Peter H,,,"B,0088,B,0088,,"
8921,-0.0129,47323.392,s,vis,Blaettler Ernst,,"B,0089,B,0089,,",
9716,-0.007,47592.341,p,vis,Peter H,,,"B,0091,B,0091,,"
9775,-0.0149,47612.305,p,vis,Blaettler Ernst,,"B,0091,B,0091,,",
10020,-0.0171,47695.407,s,vis,Peter H,,,"B,0092,B,0092,,"
10762,-0.0053,47946.421,p,vis,Peter H,,,"B,0094,B,0094,,"
10830,-0.0128,47969.432,p,vis,Peter H,,,"B,0094,B,0094,,"
10924,-0.0085,48001.426,s,vis,Peter H,,,"B,0095,B,0095,,"
10951,-0.0062,48010.398,p,vis,Peter H,,,"B,0095,B,0095,,"
10963,-0.0202,48014.446,p,vis,Peter H,,,"B,0095,B,0095,,"
11893,-0.0108,48329.437,s,vis,Peter H,,,"B,0097,B,0097,,"
11949,-0.0071,48348.397,s,vis,Peter H,,,"B,0097,B,0097,,"
11978,-0.0209,48358.1999,s,vis,Tvardowskyi,,",,,,priv.comm,",
11979,-0.0094,48358.38,p,vis,Peter H,,,"B,0097,B,0097,,"
12059,-0.0099,48385.46,p,vis,Peter H,,,"B,0098,B,0098,,"
12096,-0.0258,48398.1388,s,vis,Tvardowskyi,,",,,,priv.comm,",
12115,-0.0083,48404.418,p,vis,Peter H,,,"B,0098,B,0098,,"
12242,-0.0147,48447.402,p,vis,Peter H,,,"B,0098,B,0098,,"
12398,-0.0078,48500.216,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
12856,-0.0136,48655.4164,s,vis,Tvardowskyi,,",,,,priv.comm,",
12939,-0.0245,48683.3316,p,vis,Tvardowskyi,,",,,,priv.comm,",
12948,-0.0076,48686.395,p,vis,Peter H,,,"B,0101,B,0101,,"
13018,-0.0044,48710.2637,s,vis,Tvardowskyi,,",,,,priv.comm,",
13042,-0.011,48718.2113,p,vis,Tvardowskyi,,",,,,priv.comm,",
13087,-0.0151,48733.44,p,vis,Peter H,,,"B,0101,B,0101,,"
13146,0,48753.427,p,vis,Peter H,,,"B,0101,B,0101,,"
13198,-0.0277,48771.1717,s,vis,Tvardowskyi,,",,,,priv.comm,",
13270,-0.0059,48795.396,p,vis,Peter H,,,"B,0101,B,0101,,"
14055,-0.0123,49061.2876,s,vis,Tvardowskyi,,",,,,priv.comm,",
14100,-0.0017,49076.361,p,vis,Peter H,,,"B,0104,B,0104,,"
14162,-0.0001,49097.35,p,vis,Peter H,,,"B,0104,B,0104,,"
14310,0.0008,49147.45,p,vis,Peter H,,,"B,0104,B,0104,,"
14369,-0.0091,49167.412,p,vis,Peter H,,,"B,0104,B,0104,,"
15105,-0.0152,49416.547,p,vis,Dedoch A,,"C,0031,C,0031,,",
15183,-0.0103,49443.1255,s,vis,Tvardowskyi,,",,,,priv.comm,",
15267,-0.0154,49471.385,p,vis,Peter H,,,"B,0106,B,0106,,"
15273,-0.0074,49473.424,p,vis,Peter H,,,"B,0106,B,0106,,"
15400,-0.0078,49516.414,p,ccd,Paschke Anton,,"B,0107,B,0107,,",
15462,-0.0182,49537.391,p,vis,Peter H,,,"B,0107,B,0107,,"
16218,-0.0085,49793.482,s,vis,Dedoch A,,"B,0109,B,0109,,",
16244,-0.0095,49802.1122,p,vis,Tvardowskyi,,",,,,priv.comm,",
16268,-0.0079,49810.408,s,vis,Dedoch A,,"C,0032,C,0032,,",
16268,-0.0059,49810.41,s,vis,Martignoni Max,,"B,0113,B,0113,,",
16270,-0.0046,49810.9183,p,vis,Tvardowskyi,,",,,,priv.comm,",
16289,-0.0025,49817.352,p,vis,Peter H,,,"B,0109,B,0109,,"
16357,-0.006,49840.367,p,vis,Peter H,,,"B,0109,B,0109,,"
16360,-0.0045,49841.384,p,vis,Dedoch A,,"C,0032,C,0032,,",
