-3571,-0.0329,42576.465,p,vis,Peter H,,,"B,0023,B,0023,,"
-3558,-0.0531,42596.58,p,vis,Germann R,,"B,0023,B,0023,,",
-3551,-0.0301,42607.445,p,vis,Germann R,,"B,0023,B,0023,,",
-3542,-0.0319,42621.383,p,vis,Diethelm Roger,,"B,0023,B,0023,,",
-3542,-0.0239,42621.391,p,vis,Locher Kurt,,"B,0023,B,0023,,",
-3531,-0.0293,42638.423,p,vis,Peter H,,,"B,0023,B,0023,,"
-3522,-0.0285,42652.3636,p,V,Kreiner J,,"I,1119,I,1119,,",
-3511,-0.0115,42669.418,p,vis,Germann R,,"B,0024,B,0024,,",
-3405,-0.0337,42833.575,p,vis,Locher Kurt,,"B,0026,B,0026,,",
-3376,-0.0396,42878.486,p,vis,Locher Kurt,,"B,0027,B,0027,,",
-3347,-0.0336,42923.409,p,vis,Germann R,,"B,0029,B,0029,,",
-3345,-0.0303,42926.51,p,vis,Locher Kurt,,"B,0028,B,0028,,",
-3316,-0.0362,42971.421,p,vis,Peter H,,,"B,0029,B,0029,,"
-3316,-0.0322,42971.425,p,vis,Germann R,,"B,0029,B,0029,,",
-3287,-0.0282,43016.346,p,vis,Germann R,,"B,0029,B,0029,,",
-3267,-0.0384,43047.313,p,vis,Germann R,,"B,0030,B,0030,,",
-3258,-0.0391,43061.252,p,vis,Germann R,,"B,0030,B,0030,,",
-3227,-0.0338,43109.272,p,vis,Locher Kurt,,"B,0031,B,0031,,",
-3041,-0.0317,43397.362,p,vis,Germann R,,"B,0035,B,0035,,",
-2844,-0.0252,43702.494,p,vis,Peter H,,,"B,0038,B,0038,,"
-2815,-0.0351,43747.401,p,vis,Lichtenknecker,,"D,0031,D,Lich,,",
-2804,-0.0336,43764.44,p,vis,Peter H,,,"B,0039,B,0039,,"
-2786,-0.028,43792.325,p,vis,Germann R,,"B,0040,B,0040,,",
-2777,-0.0338,43806.259,p,vis,Germann R,,"B,0039,B,0039,,",
-2651,-0.0511,44001.398,p,vis,Germann R,,"B,0043,B,0043,,",
-2598,-0.0197,44083.519,p,vis,Wagner V,,"C,0023,C,0023,,",
-2571,-0.0369,44125.321,p,vis,Peter H,,,"B,0045,B,0045,,"
-2551,-0.0431,44156.292,p,vis,Germann R,,"B,0045,B,0045,,",
-2461,-0.0465,44295.686,p,vis,Germann R,,"B,0046,B,0046,,",
-2354,-0.0566,44461.404,p,vis,Diethelm Roger,,"B,0049,B,0049,,",
-2334,-0.0479,44492.3899,p,vis,Elias D,,,"B,0050,B,0050,,"
-2179,-0.0511,44732.46,p,vis,Carbol K,,"C,0026,C,0026,,",
-2170,-0.0498,44746.401,p,vis,Elias D,,,"B,0055,B,0055,,"
-1951,-0.0471,45085.604,p,vis,Locher Kurt,,"B,0060,B,0060,,",
-1915,-0.0521,45141.358,p,vis,Stefanopoulos G,,"B,0061,B,0061,,",
-1915,-0.0511,45141.359,p,vis,Mavrofridis G,,"B,0061,B,0061,,",
-1904,-0.0506,45158.397,p,vis,Peter H,,,"B,0061,B,0061,,"
-1716,-0.0512,45449.582,p,vis,Locher Kurt,,"B,0066,B,0066,,",
-1658,-0.0541,45539.413,p,vis,Braune Werner,,"D,0038,D,0038,,",
-1647,-0.0596,45556.445,p,vis,Zejda Miloslav,,"C,0026,C,0026,,",
-1647,-0.0576,45556.447,p,vis,Wagner V,,"C,0026,C,0026,,",
-1647,-0.0546,45556.45,p,vis,Pliska R,,"C,0026,C,0026,,",
-1647,-0.0536,45556.451,p,vis,Neugebauer P,,"C,0026,C,0026,,",
-1647,-0.0526,45556.452,p,vis,Troubil Petr,,"C,0026,C,0026,,",
-1647,-0.0506,45556.454,p,vis,Silhan Jindrich,,"C,0026,C,0026,,",
-1647,-0.0486,45556.456,p,vis,Peter H,,,"B,0073,D,Lich,,"
-1647,-0.0476,45556.457,p,vis,Mrazek J,,"C,0026,C,0026,,",
