9643,-0.1867,43244.628,p,vis,Taylor M D,,"R,0004,R,0004,,",
9733,-0.1793,43281.5037,p,V,Blenner A,,"I,1449,I,1449,,34",
9757,-0.1765,43291.543,s,vis,Boninsegna Rolan,"G,,G,,,",,
9774,-0.1926,43298.491,s,vis,Brelstaff T,,"R,0004,R,0004,,",
9794,-0.1725,43306.499,p,vis,Poretti Ennio,,"G,,G,,,",
9796,-0.1828,43307.513,s,vis,Poretti Ennio,,"G,,G,,,",
9806,-0.1903,43311.397,p,vis,Poretti Ennio,,"G,,G,,,",
9808,-0.1826,43312.429,s,vis,Poretti Ennio,,"G,,G,,,",
9811,-0.1985,43313.437,p,vis,Poretti Ennio,,"G,,G,,,",
9813,-0.1858,43314.474,s,vis,Poretti Ennio,,"G,,G,,,",
9830,-0.1968,43321.427,s,vis,Poretti Ennio,,"G,,G,,,",
9833,-0.1758,43322.472,p,vis,Ralincourt Ph,,"G,,G,,,",
9845,-0.1846,43327.379,p,vis,Poretti Ennio,,"G,,G,,,",
9855,-0.167,43331.493,p,vis,Brelstaff T,,"R,0004,R,0004,,",
9867,-0.1978,43336.378,p,vis,Poretti Ennio,,"G,,G,,,",
9886,-0.1881,43344.376,s,vis,Poretti Ennio,,"G,,G,,,",
9894,-0.1973,43347.439,p,vis,Poretti Ennio,,"G,,G,,,",
9896,-0.1846,43348.476,s,vis,Poretti Ennio,,"G,,G,,,",
9896,-0.1806,43348.48,s,vis,Troispoux G,,"B,0034,B,0034,,",
9928,-0.1873,43361.377,p,vis,Ralincourt Ph,,"G,,G,,,",
9935,-0.1949,43364.442,s,vis,Ralincourt Ph,,"G,,G,,,",
9938,-0.1878,43365.473,p,vis,Penna M,,,"G,,G,,,"
9938,-0.1778,43365.483,p,vis,Ralincourt Ph,,"G,,G,,,",
9947,-0.1737,43369.379,s,vis,Ralincourt Ph,,"G,,G,,,",
9950,-0.1826,43370.394,p,vis,Boninsegna Rolan,"G,,G,,,",,
9955,-0.1858,43372.439,p,vis,Troispoux G,,"B,0035,B,0035,,",
10011,-0.1791,43395.386,p,vis,Poretti Ennio,,"G,,G,,,",
10663,-0.1786,43662.477,p,V,Edersberger J,,"I,1924,I,2836,,",
10686,-0.1811,43671.8964,p,BV,Maddox William,,"I,1457,I,1457,,50cm",
10697,-0.1811,43676.4026,p,pe,Niarchos P G,,"I,1576,D,Lich,,",
10699,-0.1808,43677.4272,s,pe,Niarchos P G,,"I,1576,D,Lich,,",
10726,-0.1724,43688.496,s,vis,Ralincourt Ph,,"G,,G,,,",
10799,-0.1938,43718.379,s,vis,Buzzoni A,,"G,,G,,,",
10799,-0.1768,43718.396,s,vis,Ralincourt Ph,,"G,,G,,,",
10812,-0.1802,43723.513,p,vis,Ralincourt Ph,,"G,,G,,,",
10819,-0.1817,43726.379,p,vis,Ralincourt Ph,,"G,,G,,,",
10826,-0.1842,43729.449,s,vis,Buzzoni A,,"G,,G,,,",
10826,-0.1722,43729.461,s,vis,Ralincourt Ph,,"G,,G,,,",
10826,-0.1712,43729.462,s,vis,Franchini M,,"G,,G,,,",
10829,-0.1722,43730.485,p,vis,Ralincourt Ph,,"G,,G,,,",
10831,-0.1735,43731.508,s,vis,Ralincourt Ph,,"G,,G,,,",
10924,-0.1998,43769.374,p,vis,Brelstaff T,,"R,0004,R,0004,,",
10936,-0.1875,43774.302,p,vis,Buzzoni A,,"G,,G,,,",
10953,-0.1845,43781.269,p,vis,Buzzoni A,,"G,,G,,,",
10955,-0.1908,43782.287,s,vis,Buzzoni A,,"G,,G,,,",
11527,-0.1895,44016.402,p,vis,Ralincourt Ph,,"G,,G,,,",
11593,-0.1803,44043.448,p,vis,Ralincourt P,,"G,0013,D,Lich,,",
11605,-0.182,44048.362,p,vis,Ralincourt Ph,,"G,,G,,,",
11678,-0.1823,44078.471,s,vis,Ralincourt Ph,,"G,,G,,,",
11734,-0.1766,44101.417,s,vis,Ralincourt Ph,,"G,,G,,,",
11893,-0.1747,44166.348,p,vis,Brelstaff T,,"R,0005,R,0005,,",
12480,-0.1787,44406.8073,p,pe,Delaney P A,,"I,2545,I,2836,,",
12582,-0.1829,44448.7922,s,pe,Forbes D W,,"I,2545,I,2836,,",
12615,0.2005,44462.489,p,vis,Pampaloni Carlo,,"G,,G,,,",
12618,-0.1925,44463.53,s,vis,Ralincourt Ph,,"G,,G,,,",
12625,-0.186,44466.404,s,vis,Pampaloni Carlo,,"G,,G,,,",
12630,-0.1752,44468.463,s,vis,Ralincourt Ph,,"G,,G,,,",
12635,-0.1845,44470.502,s,vis,Ralincourt Ph,,"G,,G,,,",
12784,-0.182,44531.337,p,vis,Taylor M D,,"R,0005,R,0005,,",
13275,-0.1802,44732.476,p,vis,Carbol K,,"C,0026,C,0026,,",
13319,-0.1906,44750.4901,p,pg,Mahdy H A,,"I,2154,I,2836,,",
