7148,-0.0424,57100.5699,p,ccd,Smelcer L,,"C,0040,E,0179,,Celestron 28",
7148,-0.0422,57100.5701,p,R,Smelcer L,,"C,0040,E,0179,,Celestron 28",
7185,-0.0419,57164.7295,p,ccd,Frey G,,,",,,,JAAVSO-44,"
7193,-0.0429,57179.4677,s,-I,Agerer Franz,,"D,0241,I,6157,,Sigma 1603",
7204,-0.0386,57197.6793,p,V,Samolyk G,,",,,,JAAVSO-43,",
7389,-0.0277,57518.4856,p,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
7603,-0.0168,57890.4457,s,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
7610,-0.0135,57901.7202,p,ccd,Frey    G.,,"A,0462,,,,",
7809,-0.0086,58246.7969,p,V,Samolyk G.,,"A,0462,,,,",
7840,-0.0085,58300.5519,p,V,Arranz  T.,,"A,0462,,,,",
7862,-0.0082,58338.7008,p,ccd,Frey G,,,"A,,,,JAAVSO 47,"
8013,-0.0025,58600.5449,p,V,Arranz T,,"A,,,,JAAVSO 47,",
8035,-0.0016,58638.6944,p,ccd,Frey G,,,"A,,,,JAAVSO 48,"
8054,-0.001,58671.6416,p,V,Samolyk G,,"A,,,,JAAVSO 47,",
8230,0.0083,58976.84,p,V,Samolyk Gerry,,"A,,,,JAAVSO 48,",
8269,0.011,59044.4698,p,V,Arranz T,,"A,,,,JAAVSO 48,",
